,name,firstName,lastName,party,role,ccid,district,chamber,state
0,Michelle Salzman,Michelle,Salzman,R,Representative,12001L,1,House,Florida
1,Alex Andrade,Alex,Andrade,R,Representative,12002L,2,House,Florida
2,Joel Rudman,Joel,Rudman,R,Representative,12003L,3,House,Florida
3,Patt Maney,Patt,Maney,R,Representative,12004L,4,House,Florida
4,Shane Abbott,Shane,Abbott,R,Representative,12005L,5,House,Florida
5,Griff Griffitts,Griff,Griffitts,R,Representative,12006L,6,House,Florida
6,Jason Shoaf,Jason,Shoaf,R,Representative,12007L,7,House,Florida
7,Gallop Franklin,Gallop,Franklin,R,Representative,12008L,8,House,Florida
8,Allison Tant,Allison,Tant,R,Representative,12009L,9,House,Florida
9,Chuck Brannan,Chuck,Brannan,R,Representative,12010L,10,House,Florida
10,Sam Garrison,Sam,Garrison,R,Representative,12011L,11,House,Florida
11,Wyman Duggan,Wyman,Duggan,R,Representative,12012L,12,House,Florida
12,Angie Nixon,Angie,Nixon,R,Representative,12013L,13,House,Florida
13,Kimberly Daniels,Kimberly,Daniels,R,Representative,12014L,14,House,Florida
14,Dean Black,Dean,Black,R,Representative,12015L,15,House,Florida
15,Kiyan Michael,Kiyan,Michael,R,Representative,12016L,16,House,Florida
16,Jessica Baker,Jessica,Baker,R,Representative,12017L,17,House,Florida
17,Cyndi Stevenson,Cyndi,Stevenson,R,Representative,12018L,18,House,Florida
18,Paul Renner,Paul,Renner,R,Representative,12019L,19,House,Florida
19,Bobby Payne,Bobby,Payne,R,Representative,12020L,20,House,Florida
20,Yvonne Hinson,Yvonne,Hinson,R,Representative,12021L,21,House,Florida
21,Chuck Clemons,Chuck,Clemons,R,Representative,12022L,22,House,Florida
22,Ralph Massullo,Ralph,Massullo,R,Representative,12023L,23,House,Florida
23,Joe Harding,Joe,Harding,R,Representative,12024L,24,House,Florida
24,Taylor Yarkosky,Taylor,Yarkosky,R,Representative,12025L,25,House,Florida
25,Keith Truenow,Keith,Truenow,R,Representative,12026L,26,House,Florida
26,Stan McClain,Stan,McClain,R,Representative,12027L,27,House,Florida
27,Tom Leek,Tom,Leek,R,Representative,12028L,28,House,Florida
28,Webster Barnaby,Webster,Barnaby,R,Representative,12029L,29,House,Florida
29,Chase Tramont,Chase,Tramont,R,Representative,12030L,30,House,Florida
30,Tyler Sirois,Tyler,Sirois,R,Representative,12031L,31,House,Florida
31,Thad Altman,Thad,Altman,R,Representative,12032L,32,House,Florida
32,Randy Fine,Randy,Fine,R,Representative,12033L,33,House,Florida
33,Robert Brackett,Robert,Brackett,R,Representative,12034L,34,House,Florida
34,Fred Hawkins,Fred,Hawkins,R,Representative,12035L,35,House,Florida
35,Rachel Plakon,Rachel,Plakon,R,Representative,12036L,36,House,Florida
36,Susan Plasencia,Susan,Plasencia,R,Representative,12037L,37,House,Florida
37,David Smith,David,Smith,R,Representative,12038L,38,House,Florida
38,Doug Bankson,Doug,Bankson,R,Representative,12039L,39,House,Florida
39,LaVon Bracy Davis,LaVon,Bracy Davis,R,Representative,12040L,40,House,Florida
40,Bruce Antone,Bruce,Antone,R,Representative,12041L,41,House,Florida
41,Anna Eskamani,Anna,Eskamani,R,Representative,12042L,42,House,Florida
42,Johanna Lopez,Johanna,Lopez,R,Representative,12043L,43,House,Florida
43,Jennifer Harris,Jennifer,Harris,R,Representative,12044L,44,House,Florida
44,Carolina Amesty,Carolina,Amesty,R,Representative,12045L,45,House,Florida
45,Kristen Arrington,Kristen,Arrington,R,Representative,12046L,46,House,Florida
46,Paula Stark,Paula,Stark,R,Representative,12047L,47,House,Florida
47,Sam Killebrew,Sam,Killebrew,R,Representative,12048L,48,House,Florida
48,Melony Bell,Melony,Bell,R,Representative,12049L,49,House,Florida
49,Jennifer Canady,Jennifer,Canady,R,Representative,12050L,50,House,Florida
50,Josie Tomkow,Josie,Tomkow,R,Representative,12051L,51,House,Florida
51,John Temple,John,Temple,R,Representative,12052L,52,House,Florida
52,Jeff Holcomb,Jeff,Holcomb,R,Representative,12053L,53,House,Florida
53,Randy Maggard,Randy,Maggard,R,Representative,12054L,54,House,Florida
54,Kevin Steele,Kevin,Steele,R,Representative,12055L,55,House,Florida
55,Brad Yeager,Brad,Yeager,R,Representative,12056L,56,House,Florida
56,Adam Anderson,Adam,Anderson,R,Representative,12057L,57,House,Florida
57,Kimberly Berfield,Kimberly,Berfield,R,Representative,12058L,58,House,Florida
58,Berny Jacques,Berny,Jacques,R,Representative,12059L,59,House,Florida
59,Lindsay Cross,Lindsay,Cross,R,Representative,12060L,60,House,Florida
60,Linda Chaney,Linda,Chaney,R,Representative,12061L,61,House,Florida
61,Michele Rayner,Michele,Rayner,R,Representative,12062L,62,House,Florida
62,Dianne Hart,Dianne,Hart,R,Representative,12063L,63,House,Florida
63,Susan Valdes,Susan,Valdes,R,Representative,12064L,64,House,Florida
64,Karen Gonzalez Pittman,Karen,Gonzalez Pittman,R,Representative,12065L,65,House,Florida
65,Traci Koster,Traci,Koster,R,Representative,12066L,66,House,Florida
66,Fentrice Driskell,Fentrice,Driskell,R,Representative,12067L,67,House,Florida
67,Lawrence McClure,Lawrence,McClure,R,Representative,12068L,68,House,Florida
68,Daniel Alvarez,Daniel,Alvarez,R,Representative,12069L,69,House,Florida
69,Mike Beltran,Mike,Beltran,R,Representative,12070L,70,House,Florida
70,Will Robinson,Will,Robinson,R,Representative,12071L,71,House,Florida
71,Tommy Gregory,Tommy,Gregory,R,Representative,12072L,72,House,Florida
72,Fiona McFarland,Fiona,McFarland,R,Representative,12073L,73,House,Florida
73,James Buchanan,James,Buchanan,R,Representative,12074L,74,House,Florida
74,Michael Grant,Michael,Grant,R,Representative,12075L,75,House,Florida
75,Spencer Roach,Spencer,Roach,R,Representative,12076L,76,House,Florida
76,Tiffany Esposito,Tiffany,Esposito,R,Representative,12077L,77,House,Florida
77,Jenna Persons-Mulicka,Jenna,Persons-Mulicka,R,Representative,12078L,78,House,Florida
78,Mike Giallombardo,Mike,Giallombardo,R,Representative,12079L,79,House,Florida
79,Adam Botana,Adam,Botana,R,Representative,12080L,80,House,Florida
80,Bob Rommel,Bob,Rommel,R,Representative,12081L,81,House,Florida
81,Lauren Melo,Lauren,Melo,R,Representative,12082L,82,House,Florida
82,Kaylee Tuck,Kaylee,Tuck,R,Representative,12083L,83,House,Florida
83,Dana Trabulsy,Dana,Trabulsy,R,Representative,12084L,84,House,Florida
84,Toby Overdorf,Toby,Overdorf,R,Representative,12085L,85,House,Florida
85,John Snyder,John,Snyder,R,Representative,12086L,86,House,Florida
86,Mike Caruso,Mike,Caruso,R,Representative,12087L,87,House,Florida
87,Jervonte Edmonds,Jervonte,Edmonds,R,Representative,12088L,88,House,Florida
88,David Silvers,David,Silvers,R,Representative,12089L,89,House,Florida
89,Joseph Casello,Joseph,Casello,R,Representative,12090L,90,House,Florida
90,Peggy Gossett-Seidman,Peggy,Gossett-Seidman,R,Representative,12091L,91,House,Florida
91,Kelly Skidmore,Kelly,Skidmore,R,Representative,12092L,92,House,Florida
92,Katherine Waldron,Katherine,Waldron,R,Representative,12093L,93,House,Florida
93,Rick Roth,Rick,Roth,R,Representative,12094L,94,House,Florida
94,Christine Hunschofsky,Christine,Hunschofsky,R,Representative,12095L,95,House,Florida
95,Dan Daley,Dan,Daley,R,Representative,12096L,96,House,Florida
96,Lisa Dunkley,Lisa,Dunkley,R,Representative,12097L,97,House,Florida
97,Patricia Hawkins-Williams,Patricia,Hawkins-Williams,R,Representative,12098L,98,House,Florida
98,Daryl Campbell,Daryl,Campbell,R,Representative,12099L,99,House,Florida
99,Chip LaMarca,Chip,LaMarca,R,Representative,12100L,100,House,Florida
100,Hillary Cassel,Hillary,Cassel,R,Representative,12101L,101,House,Florida
101,Michael Gottlieb,Michael,Gottlieb,R,Representative,12102L,102,House,Florida
102,Robin Bartleman,Robin,Bartleman,R,Representative,12103L,103,House,Florida
103,Felicia Robinson,Felicia,Robinson,R,Representative,12104L,104,House,Florida
104,Marie Woodson,Marie,Woodson,R,Representative,12105L,105,House,Florida
105,Fabian Basabe,Fabian,Basabe,R,Representative,12106L,106,House,Florida
106,Christopher Benjamin,Christopher,Benjamin,R,Representative,12107L,107,House,Florida
107,Dotie Joseph,Dotie,Joseph,R,Representative,12108L,108,House,Florida
108,Ashley Gantt,Ashley,Gantt,R,Representative,12109L,109,House,Florida
109,Tom Fabricio,Tom,Fabricio,R,Representative,12110L,110,House,Florida
110,David Borrero,David,Borrero,R,Representative,12111L,111,House,Florida
111,Alex Rizo,Alex,Rizo,R,Representative,12112L,112,House,Florida
112,Vicki Lopez,Vicki,Lopez,R,Representative,12113L,113,House,Florida
113,Demi Busatta Cabrera,Demi,Busatta Cabrera,R,Representative,12114L,114,House,Florida
114,Alina Garcia,Alina,Garcia,R,Representative,12115L,115,House,Florida
115,Daniel Perez,Daniel,Perez,R,Representative,12116L,116,House,Florida
116,Kevin Chambliss,Kevin,Chambliss,R,Representative,12117L,117,House,Florida
117,Juan Fernandez-Barquin,Juan,Fernandez-Barquin,R,Representative,12118L,118,House,Florida
118,Juan Porras,Juan,Porras,R,Representative,12119L,119,House,Florida
119,James Mooney,James,Mooney,R,Representative,12120L,120,House,Florida