name,firstName,lastName,party,role,ccid,district,chamber,state
Michelle Salzman,Michelle,Salzman,R,Representative,12001L,1,House,Florida
Alex Andrade,Alex,Andrade,R,Representative,12002L,2,House,Florida
Joel Rudman,Joel,Rudman,R,Representative,12003L,3,House,Florida
Patt Maney,Patt,Maney,R,Representative,12004L,4,House,Florida
Shane Abbott,Shane,Abbott,R,Representative,12005L,5,House,Florida
Griff Griffitts,Griff,Griffitts,R,Representative,12006L,6,House,Florida
Jason Shoaf,Jason,Shoaf,R,Representative,12007L,7,House,Florida
Gallop Franklin,Gallop,Franklin,R,Representative,12008L,8,House,Florida
Allison Tant,Allison,Tant,R,Representative,12009L,9,House,Florida
Chuck Brannan,Chuck,Brannan,R,Representative,12010L,10,House,Florida
Sam Garrison,Sam,Garrison,R,Representative,12011L,11,House,Florida
Wyman Duggan,Wyman,Duggan,R,Representative,12012L,12,House,Florida
Angie Nixon,Angie,Nixon,R,Representative,12013L,13,House,Florida
Kimberly Daniels,Kimberly,Daniels,R,Representative,12014L,14,House,Florida
Dean Black,Dean,Black,R,Representative,12015L,15,House,Florida
Kiyan Michael,Kiyan,Michael,R,Representative,12016L,16,House,Florida
Jessica Baker,Jessica,Baker,R,Representative,12017L,17,House,Florida
Cyndi Stevenson,Cyndi,Stevenson,R,Representative,12018L,18,House,Florida
Paul Renner,Paul,Renner,R,Representative,12019L,19,House,Florida
Bobby Payne,Bobby,Payne,R,Representative,12020L,20,House,Florida
Yvonne Hinson,Yvonne,Hinson,R,Representative,12021L,21,House,Florida
Chuck Clemons,Chuck,Clemons,R,Representative,12022L,22,House,Florida
Ralph Massullo,Ralph,Massullo,R,Representative,12023L,23,House,Florida
Joe Harding,Joe,Harding,R,Representative,12024L,24,House,Florida
Taylor Yarkosky,Taylor,Yarkosky,R,Representative,12025L,25,House,Florida
Keith Truenow,Keith,Truenow,R,Representative,12026L,26,House,Florida
Stan McClain,Stan,McClain,R,Representative,12027L,27,House,Florida
Tom Leek,Tom,Leek,R,Representative,12028L,28,House,Florida
Webster Barnaby,Webster,Barnaby,R,Representative,12029L,29,House,Florida
Chase Tramont,Chase,Tramont,R,Representative,12030L,30,House,Florida
Tyler Sirois,Tyler,Sirois,R,Representative,12031L,31,House,Florida
Thad Altman,Thad,Altman,R,Representative,12032L,32,House,Florida
Randy Fine,Randy,Fine,R,Representative,12033L,33,House,Florida
Robert Brackett,Robert,Brackett,R,Representative,12034L,34,House,Florida
Fred Hawkins,Fred,Hawkins,R,Representative,12035L,35,House,Florida
Rachel Plakon,Rachel,Plakon,R,Representative,12036L,36,House,Florida
Susan Plasencia,Susan,Plasencia,R,Representative,12037L,37,House,Florida
David Smith,David,Smith,R,Representative,12038L,38,House,Florida
Doug Bankson,Doug,Bankson,R,Representative,12039L,39,House,Florida
LaVon Bracy Davis,LaVon,Bracy Davis,R,Representative,12040L,40,House,Florida
Bruce Antone,Bruce,Antone,R,Representative,12041L,41,House,Florida
Anna Eskamani,Anna,Eskamani,R,Representative,12042L,42,House,Florida
Johanna Lopez,Johanna,Lopez,R,Representative,12043L,43,House,Florida
Jennifer Harris,Jennifer,Harris,R,Representative,12044L,44,House,Florida
Carolina Amesty,Carolina,Amesty,R,Representative,12045L,45,House,Florida
Kristen Arrington,Kristen,Arrington,R,Representative,12046L,46,House,Florida
Paula Stark,Paula,Stark,R,Representative,12047L,47,House,Florida
Sam Killebrew,Sam,Killebrew,R,Representative,12048L,48,House,Florida
Melony Bell,Melony,Bell,R,Representative,12049L,49,House,Florida
Jennifer Canady,Jennifer,Canady,R,Representative,12050L,50,House,Florida
Josie Tomkow,Josie,Tomkow,R,Representative,12051L,51,House,Florida
John Temple,John,Temple,R,Representative,12052L,52,House,Florida
Jeff Holcomb,Jeff,Holcomb,R,Representative,12053L,53,House,Florida
Randy Maggard,Randy,Maggard,R,Representative,12054L,54,House,Florida
Kevin Steele,Kevin,Steele,R,Representative,12055L,55,House,Florida
Brad Yeager,Brad,Yeager,R,Representative,12056L,56,House,Florida
Adam Anderson,Adam,Anderson,R,Representative,12057L,57,House,Florida
Kimberly Berfield,Kimberly,Berfield,R,Representative,12058L,58,House,Florida
Berny Jacques,Berny,Jacques,R,Representative,12059L,59,House,Florida
Lindsay Cross,Lindsay,Cross,R,Representative,12060L,60,House,Florida
Linda Chaney,Linda,Chaney,R,Representative,12061L,61,House,Florida
Michele Rayner,Michele,Rayner,R,Representative,12062L,62,House,Florida
Dianne Hart,Dianne,Hart,R,Representative,12063L,63,House,Florida
Susan Valdes,Susan,Valdes,R,Representative,12064L,64,House,Florida
Karen Gonzalez Pittman,Karen,Gonzalez Pittman,R,Representative,12065L,65,House,Florida
Traci Koster,Traci,Koster,R,Representative,12066L,66,House,Florida
Fentrice Driskell,Fentrice,Driskell,R,Representative,12067L,67,House,Florida
Lawrence McClure,Lawrence,McClure,R,Representative,12068L,68,House,Florida
Daniel Alvarez,Daniel,Alvarez,R,Representative,12069L,69,House,Florida
Mike Beltran,Mike,Beltran,R,Representative,12070L,70,House,Florida
Will Robinson,Will,Robinson,R,Representative,12071L,71,House,Florida
Tommy Gregory,Tommy,Gregory,R,Representative,12072L,72,House,Florida
Fiona McFarland,Fiona,McFarland,R,Representative,12073L,73,House,Florida
James Buchanan,James,Buchanan,R,Representative,12074L,74,House,Florida
Michael Grant,Michael,Grant,R,Representative,12075L,75,House,Florida
Spencer Roach,Spencer,Roach,R,Representative,12076L,76,House,Florida
Tiffany Esposito,Tiffany,Esposito,R,Representative,12077L,77,House,Florida
Jenna Persons-Mulicka,Jenna,Persons-Mulicka,R,Representative,12078L,78,House,Florida
Mike Giallombardo,Mike,Giallombardo,R,Representative,12079L,79,House,Florida
Adam Botana,Adam,Botana,R,Representative,12080L,80,House,Florida
Bob Rommel,Bob,Rommel,R,Representative,12081L,81,House,Florida
Lauren Melo,Lauren,Melo,R,Representative,12082L,82,House,Florida
Kaylee Tuck,Kaylee,Tuck,R,Representative,12083L,83,House,Florida
Dana Trabulsy,Dana,Trabulsy,R,Representative,12084L,84,House,Florida
Toby Overdorf,Toby,Overdorf,R,Representative,12085L,85,House,Florida
John Snyder,John,Snyder,R,Representative,12086L,86,House,Florida
Mike Caruso,Mike,Caruso,R,Representative,12087L,87,House,Florida
Jervonte Edmonds,Jervonte,Edmonds,R,Representative,12088L,88,House,Florida
David Silvers,David,Silvers,R,Representative,12089L,89,House,Florida
Joseph Casello,Joseph,Casello,R,Representative,12090L,90,House,Florida
Peggy Gossett-Seidman,Peggy,Gossett-Seidman,R,Representative,12091L,91,House,Florida
Kelly Skidmore,Kelly,Skidmore,R,Representative,12092L,92,House,Florida
Katherine Waldron,Katherine,Waldron,R,Representative,12093L,93,House,Florida
Rick Roth,Rick,Roth,R,Representative,12094L,94,House,Florida
Christine Hunschofsky,Christine,Hunschofsky,R,Representative,12095L,95,House,Florida
Dan Daley,Dan,Daley,R,Representative,12096L,96,House,Florida
Lisa Dunkley,Lisa,Dunkley,R,Representative,12097L,97,House,Florida
Patricia Hawkins-Williams,Patricia,Hawkins-Williams,R,Representative,12098L,98,House,Florida
Daryl Campbell,Daryl,Campbell,R,Representative,12099L,99,House,Florida
Chip LaMarca,Chip,LaMarca,R,Representative,12100L,100,House,Florida
Hillary Cassel,Hillary,Cassel,R,Representative,12101L,101,House,Florida
Michael Gottlieb,Michael,Gottlieb,R,Representative,12102L,102,House,Florida
Robin Bartleman,Robin,Bartleman,R,Representative,12103L,103,House,Florida
Felicia Robinson,Felicia,Robinson,R,Representative,12104L,104,House,Florida
Marie Woodson,Marie,Woodson,R,Representative,12105L,105,House,Florida
Fabian Basabe,Fabian,Basabe,R,Representative,12106L,106,House,Florida
Christopher Benjamin,Christopher,Benjamin,R,Representative,12107L,107,House,Florida
Dotie Joseph,Dotie,Joseph,R,Representative,12108L,108,House,Florida
Ashley Gantt,Ashley,Gantt,R,Representative,12109L,109,House,Florida
Tom Fabricio,Tom,Fabricio,R,Representative,12110L,110,House,Florida
David Borrero,David,Borrero,R,Representative,12111L,111,House,Florida
Alex Rizo,Alex,Rizo,R,Representative,12112L,112,House,Florida
Vicki Lopez,Vicki,Lopez,R,Representative,12113L,113,House,Florida
Demi Busatta Cabrera,Demi,Busatta Cabrera,R,Representative,12114L,114,House,Florida
Alina Garcia,Alina,Garcia,R,Representative,12115L,115,House,Florida
Daniel Perez,Daniel,Perez,R,Representative,12116L,116,House,Florida
Kevin Chambliss,Kevin,Chambliss,R,Representative,12117L,117,House,Florida
Juan Fernandez-Barquin,Juan,Fernandez-Barquin,R,Representative,12118L,118,House,Florida
Juan Porras,Juan,Porras,R,Representative,12119L,119,House,Florida
James Mooney,James,Mooney,R,Representative,12120L,120,House,Florida
Doug Broxson,Doug,Broxson,R,Senator,12001U,1,Senate,Florida
Jay Trumbull,Jay,Trumbull,R,Senator,12002U,2,Senate,Florida
Corey Simon,Corey,Simon,R,Senator,12003U,3,Senate,Florida
Clay Yarborough,Clay,Yarborough,R,Senator,12004U,4,Senate,Florida
Tracie Davis,Tracie,Davis,R,Senator,12005U,5,Senate,Florida
Jennifer Bradley,Jennifer,Bradley,R,Senator,12006U,6,Senate,Florida
Travis Hutson,Travis,Hutson,R,Senator,12007U,7,Senate,Florida
Tommy Wright,Tommy,Wright,R,Senator,12008U,8,Senate,Florida
Keith Perry,Keith,Perry,R,Senator,12009U,9,Senate,Florida
Jason Brodeur,Jason,Brodeur,R,Senator,12010U,10,Senate,Florida
Blaise Ingoglia,Blaise,Ingoglia,R,Senator,12011U,11,Senate,Florida
Colleen Burton,Colleen,Burton,R,Senator,12012U,12,Senate,Florida
Dennis Baxley,Dennis,Baxley,R,Senator,12013U,13,Senate,Florida
Jay Collins,Jay,Collins,R,Senator,12014U,14,Senate,Florida
Geraldine Thompson,Geraldine,Thompson,R,Senator,12015U,15,Senate,Florida
Darryl Rouson,Darryl,Rouson,R,Senator,12016U,16,Senate,Florida
Linda Stewart,Linda,Stewart,R,Senator,12017U,17,Senate,Florida
Nick DiCeglie,Nick,DiCeglie,R,Senator,12018U,18,Senate,Florida
Debbie Mayfield,Debbie,Mayfield,R,Senator,12019U,19,Senate,Florida
Jim Boyd,Jim,Boyd,R,Senator,12020U,20,Senate,Florida
Ed Hooper,Ed,Hooper,R,Senator,12021U,21,Senate,Florida
Joe Gruters,Joe,Gruters,R,Senator,12022U,22,Senate,Florida
Danny Burgess,Danny,Burgess,R,Senator,12023U,23,Senate,Florida
Bobby Powell,Bobby,Powell,R,Senator,12024U,24,Senate,Florida
Victor Torres,Victor,Torres,R,Senator,12025U,25,Senate,Florida
Lori Berman,Lori,Berman,R,Senator,12026U,26,Senate,Florida
Ben Albritton,Ben,Albritton,R,Senator,12027U,27,Senate,Florida
Kathleen Passidomo,Kathleen,Passidomo,R,Senator,12028U,28,Senate,Florida
Erin Grall,Erin,Grall,R,Senator,12029U,29,Senate,Florida
Tina Polsky,Tina,Polsky,R,Senator,12030U,30,Senate,Florida
Gayle Harrell,Gayle,Harrell,R,Senator,12031U,31,Senate,Florida
Rosalind Osgood,Rosalind,Osgood,R,Senator,12032U,32,Senate,Florida
Jonathan Martin,Jonathan,Martin,R,Senator,12033U,33,Senate,Florida
Shevrin Jones,Shevrin,Jones,R,Senator,12034U,34,Senate,Florida
Lauren Book,Lauren,Book,R,Senator,12035U,35,Senate,Florida
Ileana Garcia,Ileana,Garcia,R,Senator,12036U,36,Senate,Florida
Jason Pizzo,Jason,Pizzo,R,Senator,12037U,37,Senate,Florida
Alexis Calatayud,Alexis,Calatayud,R,Senator,12038U,38,Senate,Florida
Bryan Avila,Bryan,Avila,R,Senator,12039U,39,Senate,Florida
Ana Marie Rodriguez,Ana Marie,Rodriguez,R,Senator,12040U,40,Senate,Florida
